Mechanic,Olfactory_Count,NonOlfactory_Count,Olfactory_Proportion,NonOlfactory_Proportion,Chi2,p-value,More_Common_In,p-adjusted
Emanating,7,164,0.02857142857142857,0.5815602836879432,180.38532356759785,3.992905544973553e-41,Non-Olfactory,1.51730410708995e-39
Identifying,128,34,0.5224489795918368,0.12056737588652482,97.57350149409159,5.189376630761921e-23,Olfactory,9.859815598447651e-22
Damaging,3,97,0.012244897959183673,0.34397163120567376,91.68849628365474,1.0145295611858103e-21,Non-Olfactory,1.2850707775020265e-20
Buffing,4,69,0.0163265306122449,0.24468085106382978,55.390628069535104,9.880641509365562e-14,Non-Olfactory,9.386609433897284e-13
Matching,47,4,0.19183673469387755,0.014184397163120567,45.32527720054587,1.6688133737667725e-11,Olfactory,1.268298164062747e-10
Memorizing,37,3,0.1510204081632653,0.010638297872340425,34.86071641202899,3.5415486068656677e-09,Olfactory,2.2429807843482563e-08
Labeling,26,0,0.10612244897959183,0.0,29.257611807737163,6.33668107445068e-08,Olfactory,3.439912583273226e-07
Experiencing,44,11,0.17959183673469387,0.03900709219858156,26.23665068393518,3.02035453191253e-07,Olfactory,1.4346684026584518e-06
Reflexing,2,34,0.00816326530612245,0.12056737588652482,24.289771976821427,8.287797431641589e-07,Non-Olfactory,3.4992922489153376e-06
Discriminating,29,4,0.11836734693877551,0.014184397163120567,22.500120226518003,2.10130443579412e-06,Olfactory,7.984956856017656e-06
Composing,19,1,0.07755102040816327,0.0035460992907801418,17.690959768837654,2.598586684127496e-05,Olfactory,8.976935817894987e-05
Rewarding,16,0,0.0653061224489796,0.0,16.839367883530773,4.0680589294922596e-05,Olfactory,0.00012882186610058824
Signaling,10,42,0.04081632653061224,0.14893617021276595,16.037890767220837,6.208742480782138e-05,Non-Olfactory,0.00018148631866901635
Luring,1,22,0.004081632653061225,0.07801418439716312,15.44311731268943,8.502602594463484e-05,Non-Olfactory,0.00023078492756400886
Enchanting,0,14,0.0,0.04964539007092199,10.649004399658866,0.0011013017402238547,Non-Olfactory,0.0027899644085670984
Repelling,1,14,0.004081632653061225,0.04964539007092199,8.263714206842977,0.004044529600255379,Non-Olfactory,0.009605757800606525
Localising,14,35,0.05714285714285714,0.12411347517730496,6.200709801822612,0.01276990917256548,Non-Olfactory,0.02656446023652593
Negotiating,7,0,0.02857142857142857,0.0,6.131125358665794,0.013282230118262964,Olfactory,0.02656446023652593
Racing,7,0,0.02857142857142857,0.0,6.131125358665794,0.013282230118262964,Olfactory,0.02656446023652593
Randomising,6,0,0.024489795918367346,0.0,4.979284467152593,0.02565259096436091,Olfactory,0.04873992283228573
Masking,0,7,0.0,0.024822695035460994,4.414973683593147,0.03562482819232372,Non-Olfactory,0.06446397482420481
Mapping,4,0,0.0163265306122449,0.0,2.724982625469536,0.09878919655754906,Olfactory,0.16321693344290714
Recalling,4,0,0.0163265306122449,0.0,2.724982625469536,0.09878919655754906,Olfactory,0.16321693344290714
Eating,33,26,0.1346938775510204,0.09219858156028368,1.9730268053464295,0.16012694985122944,Olfactory,0.25353433726444663
Transacting,10,5,0.04081632653061224,0.01773049645390071,1.7608264125408584,0.1845214697048686,Olfactory,0.27598349077794715
Bluffing,3,0,0.012244897959183673,0.0,1.6463976602226618,0.19944993879483947,Olfactory,0.27598349077794715
Organizing,3,0,0.012244897959183673,0.0,1.6463976602226618,0.19944993879483947,Olfactory,0.27598349077794715
Pranking,6,2,0.024489795918367346,0.0070921985815602835,1.6181047456390827,0.20335625636269788,Olfactory,0.27598349077794715
Judging,5,9,0.02040816326530612,0.031914893617021274,0.3000243886400196,0.5838671316895787,Non-Olfactory,0.7421529758565244
Collecting,6,4,0.024489795918367346,0.014184397163120567,0.29677668141210123,0.5859102440972561,Olfactory,0.7421529758565244
Punishing,18,17,0.07346938775510205,0.06028368794326241,0.1857127927282318,0.6665090374051033,Olfactory,0.8170110781094815
Depriving,2,4,0.00816326530612245,0.014184397163120567,0.0567474219510432,0.8117126576207231,Non-Olfactory,0.9639087809246087
Trapping,4,3,0.0163265306122449,0.010638297872340425,0.035142574623957576,0.8512972165558051,Olfactory,0.9802816433066847
Arousing,4,6,0.0163265306122449,0.02127659574468085,0.009091681077550606,0.9240365852975837,Non-Olfactory,1.0
Detecting,17,21,0.06938775510204082,0.07446808510638298,0.0031428168493723404,0.9552933466278298,Non-Olfactory,1.0
Navigating,17,19,0.06938775510204082,0.0673758865248227,0.0,1.0,Olfactory,1.0
Misdirecting,5,6,0.02040816326530612,0.02127659574468085,0.0,1.0,Non-Olfactory,1.0
Transporting,0,1,0.0,0.0035460992907801418,0.0,1.0,Non-Olfactory,1.0
